instance                           n     g    nswaps      it          obj_last          obj_best     runtime   run  starts
R27.dat                           24     2        14      38            22.462            22.462       5.450     1      10
R27.dat                           24     3        14      42             7.810             7.810      47.207     1      10
R23.dat                           24     4        28      47             6.644             6.644    1346.214     1      10
R28.dat                           24     1        14      20            78.161            78.161       1.162     1      10
R28.dat                           24     2        14      37            25.847            25.847      13.240     1      10
R27.dat                           24     4        14      46             5.820             5.820     799.976     2      10
R28.dat                           24     3        14      40             7.743             7.743     421.678     4      10
R29.dat                           24     1        28      20            59.617            59.617       1.096     1      10
R29.dat                           24     2        28      53            24.107            24.107       8.914     1      10
R29.dat                           24     3        28      45            11.421            11.421     110.437     1      10
R26.dat                           24     4         3      33             2.130             2.130    1324.345     5      10
R30.dat                           24     1        28      20            84.439            84.439       1.163     1      10
R30.dat                           24     2        28      32            26.467            26.467      11.486     1      10
R30.dat                           24     3        28      46            11.881            11.881    1040.334     3      10
R24.dat                           24     4        28      46             7.114             7.114    4476.086     5      10
R31.dat                           24     1         3      20            59.489            59.489       1.071     1      10
R31.dat                           24     2         3      37            19.119            19.119       4.854     1      10
R31.dat                           24     3         3      55             9.753             9.753      56.857     1      10
R31.dat                           24     4         3      40             2.501             2.501     404.909     5      10
R32.dat                           24     1         3      20            85.228            85.228       1.199     1      10
R32.dat                           24     2         3      31            31.036            31.036       7.330     1      10
R29.dat                           24     4        28      48             7.797             7.797    3590.632     5      10
R28.dat                           24     4        14      50             6.239             6.239    4294.687     5      10
R33.dat                           24     1        14      20            61.503            61.503       1.087     1      10
R33.dat                           24     2        14      45            23.072            23.072       7.497     1      10
R33.dat                           24     3        14      49            12.078            12.078     102.779     1      10
R32.dat                           24     3         3      34            10.090            10.090    2342.554     4      10
R34.dat                           24     1        14      20            80.738            80.738       1.216     1      10
R34.dat                           24     2        14      40            29.866            29.866      10.062     1      10
R30.dat                           24     4        28      50             9.129             9.129    6006.417     5      10
R33.dat                           24     4        14      51             7.004             7.004    3333.565     2      10
R35.dat                           24     1        28      20            73.511            73.511       1.117     1      10
R35.dat                           24     2        28      43            27.170            27.170       7.683     1      10
R32.dat                           24     4         3      39             2.266             2.266    4082.467     8      10
R35.dat                           24     3        28      49            15.209            15.209     205.099     3      10
R36.dat                           24     1        28      20            94.744            94.744       1.180     1      10
R36.dat                           24     2        28      28            30.046            30.046       7.154     1      10
R34.dat                           24     3        14      50            14.894            14.894    3935.548     4      10
R36.dat                           24     3        28      49            17.046            17.046    4661.581     3      10
R34.dat                           24     4        14      51             7.685             7.685    5644.305     8      10
R35.dat                           24     4        28      52            10.356            10.356    5899.167     4      10
R36.dat                           24     4        28      48            10.806            10.806    5609.650     8      10
