instance                           n     g    nswaps         obj       bound      gap%    sols       nodes    status     runtime
R23.dat                           24     2        28      12.798      12.798     0.000      10       20855         2     593.038
R22.dat                           24     3        14       6.131       2.521    58.876      10       66051         9    7200.014
R24.dat                           24     1        28      77.828      77.828     0.000       2           1         2       0.025
R24.dat                           24     2        28      13.140      13.140     0.000      10        4879         2     175.106
R22.dat                           24     4        14       4.506       0.069    98.469      10      346714         9    7200.006
R23.dat                           24     3        28       9.281       2.171    76.611      10       60524         9    7200.007
R25.dat                           24     1         3      54.391      54.391     0.000       3           1         2       0.052
R23.dat                           24     4        28       6.722       0.000   100.000      10      820882         9    7200.043
R25.dat                           24     2         3      19.301      19.301     0.000       5       20724         2     655.717
R24.dat                           24     3        28      10.246       1.928    81.178      10      280377         9    7200.005
R26.dat                           24     1         3      81.495      81.495     0.000       3           1         2       0.048
R26.dat                           24     2         3      24.256      24.256     0.000      10       25314         2    1741.894
R24.dat                           24     4        28       7.303       0.043    99.415      10      461059         9    7200.008
R25.dat                           24     3         3       2.519       1.728    31.395      10      103865         9    7200.007
R27.dat                           24     1        14      56.654      56.654     0.000       3           1         2       0.058
R25.dat                           24     4         3       2.354       0.109    95.358      10      155926         9    7200.003
R27.dat                           24     2        14      22.462      22.462     0.000       4       21742         2     738.862
R26.dat                           24     3         3       2.656       2.030    23.571      10       33557         9    7200.005
R28.dat                           24     1        14      78.161      78.161     0.000       3           1         2       0.051
R26.dat                           24     4         3       2.195       0.072    96.698      10       26171         9    7200.004
R27.dat                           24     3        14       7.810       2.337    70.082      10       44137         9    7200.004
R28.dat                           24     2        14      25.847      25.847     0.000      10       85229         2    5382.718
R29.dat                           24     1        28      59.617      59.617     0.000       3           1         2       0.056
R27.dat                           24     4        14       6.469       0.062    99.038      10      458340         9    7200.006
R29.dat                           24     2        28      24.107      24.107     0.000      10       25888         2     970.901
R28.dat                           24     3        14       7.775       1.153    85.172      10      185724         9    7200.006
R30.dat                           24     1        28      84.439      84.439     0.000       2           1         2       0.054
R28.dat                           24     4        14       6.330       0.032    99.491      10      195184         9    7200.010
R29.dat                           24     3        28      11.421       2.083    81.759      10       48835         9    7200.030
R29.dat                           24     4        28       9.656       0.001    99.993      10      581626         9    7200.004
R31.dat                           24     1         3      59.489      59.489     0.000       2           1         2       0.056
R31.dat                           24     2         3      19.119      19.119     0.000       7       20587         2     766.612
R30.dat                           24     2        28      26.467      25.910     2.104      10      121235         9    7200.003
R30.dat                           24     3        28      11.893       1.781    85.023      10       46800         9    7200.043
R32.dat                           24     1         3      85.228      85.228     0.000       3           1         2       0.026
R30.dat                           24     4        28       9.205       0.000   100.000      10      816361         9    7200.005
R32.dat                           24     2         3      31.036      31.036     0.000      10       23570         2     959.344
R31.dat                           24     3         3       9.753       2.208    77.364      10      101305         9    7200.006
R33.dat                           24     1        14      61.503      61.503     0.000       3           1         2       0.059
R31.dat                           24     4         3       2.501       0.106    95.758      10      300983         9    7200.005
R33.dat                           24     2        14      23.072      23.072     0.000      10       21092         2     818.005
